BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SteamUse(kBtu),TotalGHGEmissions,BuildingAge
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60219,-122.33347,6,89355,0,66.0,0.0,31.97,116
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.6036,-122.33288,15,388934,0,89.0,1192343.75,213.23,94
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60403,-122.33497,22,384302,0,98.0,0.0,70.15,87
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.6037,-122.33447,17,378525,84600,69.0,10921066.0,940.47,58
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60505,-122.33427,47,1323055,0,94.0,0.0,318.97,33
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60567,-122.33511,41,589921,129432,84.0,0.0,171.52,30
NonResidential,Small- and Mid-Sized Office,98104.0,7,DOWNTOWN,47.60542,-122.33588,6,91091,1392,,480784.0,46.56,66
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60581,-122.33664,8,157941,62993,81.0,0.0,26.1,48
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60614,-122.33674,29,635303,197231,95.0,180731.7969,139.72,25
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60655,-122.33533,34,776762,162604,81.0,0.0,231.32,36
NonResidential,Large Office,98101.0,7,DOWNTOWN,47.60671,-122.33456,14,186768,23775,95.0,2154977.5,218.53,44
NonResidential,Large Office,98154.0,7,DOWNTOWN,47.60615,-122.33388,49,1123435,368980,89.0,0.0,627.87,47
NonResidential,Large Office,98104.0,7,DOWNTOWN,47.60549,-122.33319,37,1052469,164420,93.0,0.0,287.32,14
